id_bdq,foco_id,lat,lon,data_pas,pais,estado,municipio,bioma
 66774710 ,3b939ef0-5abb-11e8-911c-28924ad12c5c,  -20.285000 ,  -58.020000 ,2012-01-03 17:38:00,Brasil,MATO GROSSO DO SUL,CORUMBÁ,Pantanal
 66774751 ,3b939f12-5abb-11e8-911c-28924ad12c5c,  -18.184000 ,  -57.361000 ,2012-01-03 17:39:00,Brasil,MATO GROSSO DO SUL,CORUMBÁ,Pantanal
 66774747 ,3b939f0f-5abb-11e8-911c-28924ad12c5c,  -18.859000 ,  -57.384000 ,2012-01-03 17:39:00,Brasil,MATO GROSSO DO SUL,CORUMBÁ,Pantanal
 66774745 ,3b939f0d-5abb-11e8-911c-28924ad12c5c,  -18.202000 ,  -57.358000 ,2012-01-03 17:39:00,Brasil,MATO GROSSO DO SUL,CORUMBÁ,Pantanal
 66774741 ,3b939f0a-5abb-11e8-911c-28924ad12c5c,  -18.182000 ,  -57.351000 ,2012-01-03 17:39:00,Brasil,MATO GROSSO DO SUL,CORUMBÁ,Pantanal
 66774740 ,3b939f09-5abb-11e8-911c-28924ad12c5c,  -17.995000 ,  -57.394000 ,2012-01-03 17:39:00,Brasil,MATO GROSSO DO SUL,CORUMBÁ,Pantanal
 66774739 ,3b939f08-5abb-11e8-911c-28924ad12c5c,  -17.845000 ,  -57.244000 ,2012-01-03 17:39:00,Brasil,MATO GROSSO DO SUL,CORUMBÁ,Pantanal
 66774738 ,3b939f07-5abb-11e8-911c-28924ad12c5c,  -18.026000 ,  -57.409000 ,2012-01-03 17:39:00,Brasil,MATO GROSSO DO SUL,CORUMBÁ,Pantanal
 66774734 ,3b939f06-5abb-11e8-911c-28924ad12c5c,  -18.249000 ,  -57.360000 ,2012-01-03 17:39:00,Brasil,MATO GROSSO DO SUL,CORUMBÁ,Pantanal
 66774733 ,3b939f05-5abb-11e8-911c-28924ad12c5c,  -18.192000 ,  -57.350000 ,2012-01-03 17:39:00,Brasil,MATO GROSSO DO SUL,CORUMBÁ,Pantanal
 66774732 ,3b939f04-5abb-11e8-911c-28924ad12c5c,  -18.851000 ,  -57.395000 ,2012-01-03 17:39:00,Brasil,MATO GROSSO DO SUL,CORUMBÁ,Pantanal
 66774755 ,5f912580-5abb-11e8-911c-28924ad12c5c,  -18.201000 ,  -57.348000 ,2012-01-03 17:39:00,Brasil,MATO GROSSO DO SUL,CORUMBÁ,Pantanal
 66793854 ,3b95beb4-5abb-11e8-911c-28924ad12c5c,  -22.294000 ,  -54.056000 ,2012-01-04 16:42:00,Brasil,MATO GROSSO DO SUL,IVINHEMA,Mata Atlântica
 66813443 ,3ba6c82d-5abb-11e8-911c-28924ad12c5c,  -20.321000 ,  -57.995000 ,2012-01-05 17:26:00,Brasil,MATO GROSSO DO SUL,CORUMBÁ,Pantanal
 66813437 ,3ba6c827-5abb-11e8-911c-28924ad12c5c,  -18.785000 ,  -57.143000 ,2012-01-05 17:26:00,Brasil,MATO GROSSO DO SUL,CORUMBÁ,Pantanal
 66813435 ,3ba6c825-5abb-11e8-911c-28924ad12c5c,  -20.331000 ,  -57.994000 ,2012-01-05 17:26:00,Brasil,MATO GROSSO DO SUL,CORUMBÁ,Pantanal
 66813432 ,3ba6c822-5abb-11e8-911c-28924ad12c5c,  -18.030000 ,  -57.272000 ,2012-01-05 17:26:00,Brasil,MATO GROSSO DO SUL,CORUMBÁ,Pantanal
 66813348 ,3ba6c7cd-5abb-11e8-911c-28924ad12c5c,  -22.058000 ,  -56.104000 ,2012-01-05 17:25:00,Brasil,MATO GROSSO DO SUL,BELA VISTA,Cerrado
 66848672 ,8b237203-5abb-11e8-911c-28924ad12c5c,  -18.568000 ,  -54.647000 ,2012-01-07 17:14:00,Brasil,MATO GROSSO DO SUL,COXIM,Cerrado
 66848671 ,8b237202-5abb-11e8-911c-28924ad12c5c,  -20.409000 ,  -57.950000 ,2012-01-07 17:14:00,Brasil,MATO GROSSO DO SUL,CORUMBÁ,Pantanal
 66848670 ,5737d0fa-5abb-11e8-911c-28924ad12c5c,  -20.413000 ,  -57.962000 ,2012-01-07 17:14:00,Brasil,MATO GROSSO DO SUL,CORUMBÁ,Pantanal
 66848669 ,5737d0f9-5abb-11e8-911c-28924ad12c5c,  -18.125000 ,  -53.491000 ,2012-01-07 17:14:00,Brasil,MATO GROSSO DO SUL,ALCINÓPOLIS,Cerrado
 66848667 ,5737d0f8-5abb-11e8-911c-28924ad12c5c,  -18.789000 ,  -57.622000 ,2012-01-07 17:14:00,Brasil,MATO GROSSO DO SUL,CORUMBÁ,Pantanal
 66848666 ,3babbb3e-5abb-11e8-911c-28924ad12c5c,  -19.483000 ,  -56.738000 ,2012-01-07 17:14:00,Brasil,MATO GROSSO DO SUL,CORUMBÁ,Pantanal
 66848665 ,3babbb3d-5abb-11e8-911c-28924ad12c5c,  -20.425000 ,  -57.961000 ,2012-01-07 17:14:00,Brasil,MATO GROSSO DO SUL,CORUMBÁ,Pantanal
 66848663 ,3babbb3c-5abb-11e8-911c-28924ad12c5c,  -19.494000 ,  -56.736000 ,2012-01-07 17:14:00,Brasil,MATO GROSSO DO SUL,CORUMBÁ,Pantanal
 66848662 ,3babbb3b-5abb-11e8-911c-28924ad12c5c,  -20.411000 ,  -57.969000 ,2012-01-07 17:14:00,Brasil,MATO GROSSO DO SUL,CORUMBÁ,Pantanal
 66848661 ,3babbb3a-5abb-11e8-911c-28924ad12c5c,  -19.001000 ,  -57.508000 ,2012-01-07 17:14:00,Brasil,MATO GROSSO DO SUL,CORUMBÁ,Pantanal
 66848660 ,3babbb39-5abb-11e8-911c-28924ad12c5c,  -20.422000 ,  -57.948000 ,2012-01-07 17:14:00,Brasil,MATO GROSSO DO SUL,CORUMBÁ,Pantanal
 66848659 ,3babbb38-5abb-11e8-911c-28924ad12c5c,  -20.423000 ,  -57.941000 ,2012-01-07 17:14:00,Brasil,MATO GROSSO DO SUL,CORUMBÁ,Pantanal
 66848658 ,3babbb37-5abb-11e8-911c-28924ad12c5c,  -18.801000 ,  -57.620000 ,2012-01-07 17:14:00,Brasil,MATO GROSSO DO SUL,CORUMBÁ,Pantanal
 66848657 ,3babbb36-5abb-11e8-911c-28924ad12c5c,  -20.411000 ,  -57.943000 ,2012-01-07 17:14:00,Brasil,MATO GROSSO DO SUL,CORUMBÁ,Pantanal
 66848656 ,3babbb35-5abb-11e8-911c-28924ad12c5c,  -20.424000 ,  -57.968000 ,2012-01-07 17:14:00,Brasil,MATO GROSSO DO SUL,CORUMBÁ,Pantanal
 66848653 ,3babbb33-5abb-11e8-911c-28924ad12c5c,  -19.902000 ,  -57.588000 ,2012-01-07 17:14:00,Brasil,MATO GROSSO DO SUL,CORUMBÁ,Pantanal
 66848645 ,3babbb2a-5abb-11e8-911c-28924ad12c5c,  -22.053000 ,  -54.799000 ,2012-01-07 17:13:00,Brasil,MATO GROSSO DO SUL,ITAPORÃ,Mata Atlântica
 66848644 ,3babbb29-5abb-11e8-911c-28924ad12c5c,  -21.617000 ,  -57.719000 ,2012-01-07 17:13:00,Brasil,MATO GROSSO DO SUL,PORTO MURTINHO,Pantanal
 66848643 ,3babbb28-5abb-11e8-911c-28924ad12c5c,  -21.508000 ,  -57.777000 ,2012-01-07 17:13:00,Brasil,MATO GROSSO DO SUL,PORTO MURTINHO,Pantanal
 66848633 ,3babbb1e-5abb-11e8-911c-28924ad12c5c,  -21.800000 ,  -54.644000 ,2012-01-07 17:13:00,Brasil,MATO GROSSO DO SUL,RIO BRILHANTE,Cerrado
 66865649 ,3badf122-5abb-11e8-911c-28924ad12c5c,  -20.426000 ,  -57.959000 ,2012-01-08 17:56:00,Brasil,MATO GROSSO DO SUL,CORUMBÁ,Pantanal
 66865647 ,3badf120-5abb-11e8-911c-28924ad12c5c,  -20.918000 ,  -57.877000 ,2012-01-08 17:56:00,Brasil,MATO GROSSO DO SUL,CORUMBÁ,Pantanal
 66865642 ,3badf11b-5abb-11e8-911c-28924ad12c5c,  -20.424000 ,  -57.945000 ,2012-01-08 17:56:00,Brasil,MATO GROSSO DO SUL,CORUMBÁ,Pantanal
 66865623 ,3badf108-5abb-11e8-911c-28924ad12c5c,  -20.413000 ,  -57.947000 ,2012-01-08 17:56:00,Brasil,MATO GROSSO DO SUL,CORUMBÁ,Pantanal
 66865606 ,3badf0f7-5abb-11e8-911c-28924ad12c5c,  -20.318000 ,  -57.396000 ,2012-01-08 17:56:00,Brasil,MATO GROSSO DO SUL,CORUMBÁ,Pantanal
 66883788 ,5737d252-5abb-11e8-911c-28924ad12c5c,  -18.679000 ,  -56.986000 ,2012-01-09 17:02:00,Brasil,MATO GROSSO DO SUL,CORUMBÁ,Pantanal
 66883787 ,5737d251-5abb-11e8-911c-28924ad12c5c,  -18.885000 ,  -57.364000 ,2012-01-09 17:02:00,Brasil,MATO GROSSO DO SUL,CORUMBÁ,Pantanal
 66883786 ,5737d250-5abb-11e8-911c-28924ad12c5c,  -19.006000 ,  -57.521000 ,2012-01-09 17:02:00,Brasil,MATO GROSSO DO SUL,CORUMBÁ,Pantanal
 66883784 ,5737d24f-5abb-11e8-911c-28924ad12c5c,  -19.501000 ,  -56.756000 ,2012-01-09 17:02:00,Brasil,MATO GROSSO DO SUL,CORUMBÁ,Pantanal
 66883783 ,5737d24e-5abb-11e8-911c-28924ad12c5c,  -18.899000 ,  -57.358000 ,2012-01-09 17:02:00,Brasil,MATO GROSSO DO SUL,CORUMBÁ,Pantanal
 66883781 ,5737d24d-5abb-11e8-911c-28924ad12c5c,  -18.806000 ,  -57.636000 ,2012-01-09 17:02:00,Brasil,MATO GROSSO DO SUL,CORUMBÁ,Pantanal
 66883752 ,3bb2413e-5abb-11e8-911c-28924ad12c5c,  -21.654000 ,  -54.443000 ,2012-01-09 17:01:00,Brasil,MATO GROSSO DO SUL,RIO BRILHANTE,Mata Atlântica
 66883751 ,3bb2413d-5abb-11e8-911c-28924ad12c5c,  -21.711000 ,  -57.548000 ,2012-01-09 17:01:00,Brasil,MATO GROSSO DO SUL,PORTO MURTINHO,Cerrado
 66902882 ,5737d32c-5abb-11e8-911c-28924ad12c5c,  -18.878000 ,  -57.371000 ,2012-01-10 17:45:00,Brasil,MATO GROSSO DO SUL,CORUMBÁ,Pantanal
 66902881 ,5737d32b-5abb-11e8-911c-28924ad12c5c,  -18.863000 ,  -57.341000 ,2012-01-10 17:45:00,Brasil,MATO GROSSO DO SUL,CORUMBÁ,Pantanal
 66902854 ,5737d32a-5abb-11e8-911c-28924ad12c5c,  -18.876000 ,  -57.360000 ,2012-01-10 17:45:00,Brasil,MATO GROSSO DO SUL,CORUMBÁ,Pantanal
 66902853 ,5737d329-5abb-11e8-911c-28924ad12c5c,  -18.895000 ,  -57.357000 ,2012-01-10 17:45:00,Brasil,MATO GROSSO DO SUL,CORUMBÁ,Pantanal
 66902852 ,5737d328-5abb-11e8-911c-28924ad12c5c,  -18.904000 ,  -57.289000 ,2012-01-10 17:45:00,Brasil,MATO GROSSO DO SUL,CORUMBÁ,Pantanal
 66902850 ,5737d326-5abb-11e8-911c-28924ad12c5c,  -17.995000 ,  -57.432000 ,2012-01-10 17:45:00,Brasil,MATO GROSSO DO SUL,CORUMBÁ,Pantanal
 66902849 ,5737d325-5abb-11e8-911c-28924ad12c5c,  -18.882000 ,  -57.337000 ,2012-01-10 17:45:00,Brasil,MATO GROSSO DO SUL,CORUMBÁ,Pantanal
 66902848 ,5737d324-5abb-11e8-911c-28924ad12c5c,  -17.994000 ,  -57.422000 ,2012-01-10 17:45:00,Brasil,MATO GROSSO DO SUL,CORUMBÁ,Pantanal
 66902847 ,5737d323-5abb-11e8-911c-28924ad12c5c,  -18.849000 ,  -57.405000 ,2012-01-10 17:45:00,Brasil,MATO GROSSO DO SUL,CORUMBÁ,Pantanal
 66902846 ,5737d322-5abb-11e8-911c-28924ad12c5c,  -18.801000 ,  -57.626000 ,2012-01-10 17:45:00,Brasil,MATO GROSSO DO SUL,CORUMBÁ,Pantanal
 66902845 ,5737d321-5abb-11e8-911c-28924ad12c5c,  -17.822000 ,  -57.250000 ,2012-01-10 17:45:00,Brasil,MATO GROSSO DO SUL,CORUMBÁ,Pantanal
 66902844 ,5737d320-5abb-11e8-911c-28924ad12c5c,  -18.875000 ,  -57.350000 ,2012-01-10 17:45:00,Brasil,MATO GROSSO DO SUL,CORUMBÁ,Pantanal
 66902830 ,5737d31f-5abb-11e8-911c-28924ad12c5c,  -18.797000 ,  -57.659000 ,2012-01-10 17:45:00,Brasil,MATO GROSSO DO SUL,CORUMBÁ,Pantanal
 66902829 ,5737d31e-5abb-11e8-911c-28924ad12c5c,  -18.905000 ,  -57.355000 ,2012-01-10 17:45:00,Brasil,MATO GROSSO DO SUL,CORUMBÁ,Pantanal
 66902828 ,5737d31d-5abb-11e8-911c-28924ad12c5c,  -18.803000 ,  -57.636000 ,2012-01-10 17:45:00,Brasil,MATO GROSSO DO SUL,CORUMBÁ,Pantanal
 66902810 ,5737d31c-5abb-11e8-911c-28924ad12c5c,  -18.873000 ,  -57.339000 ,2012-01-10 17:45:00,Brasil,MATO GROSSO DO SUL,CORUMBÁ,Pantanal
 66902809 ,5737d31b-5abb-11e8-911c-28924ad12c5c,  -17.885000 ,  -57.324000 ,2012-01-10 17:45:00,Brasil,MATO GROSSO DO SUL,CORUMBÁ,Pantanal
 66902808 ,5737d31a-5abb-11e8-911c-28924ad12c5c,  -17.832000 ,  -57.248000 ,2012-01-10 17:45:00,Brasil,MATO GROSSO DO SUL,CORUMBÁ,Pantanal
 66902807 ,5737d319-5abb-11e8-911c-28924ad12c5c,  -17.876000 ,  -57.200000 ,2012-01-10 17:45:00,Brasil,MATO GROSSO DO SUL,CORUMBÁ,Pantanal
 66902806 ,5737d318-5abb-11e8-911c-28924ad12c5c,  -17.874000 ,  -57.189000 ,2012-01-10 17:45:00,Brasil,MATO GROSSO DO SUL,CORUMBÁ,Pantanal
 66902805 ,5737d317-5abb-11e8-911c-28924ad12c5c,  -17.830000 ,  -57.237000 ,2012-01-10 17:45:00,Brasil,MATO GROSSO DO SUL,CORUMBÁ,Pantanal
 66902804 ,5737d316-5abb-11e8-911c-28924ad12c5c,  -18.888000 ,  -57.370000 ,2012-01-10 17:45:00,Brasil,MATO GROSSO DO SUL,CORUMBÁ,Pantanal
